club_seed_id,country,state_province_code,state_province_name,club_name,club_type,size_tier,generation_method
495,US,CA,California,Active Life Third Shot Academy,Community Recreation Club,Medium,ai_seed_template_v1
496,US,CA,California,San Diego Community,Public Park Club,Small,ai_seed_template_v1
497,US,CA,California,Uptown Baseline Paddle Club,Tournament Club,Medium,ai_seed_template_v1
498,US,CA,California,Sierra Court Center,Community Recreation Club,Small,ai_seed_template_v1
499,US,CA,California,Bay Area Paddle Academy,Private Athletic Club,Medium,ai_seed_template_v1
500,US,CA,California,Orange County Rally League,Tournament Club,Tiny,ai_seed_template_v1
501,US,CA,California,Downtown Net Center,Public Park Club,Tiny,ai_seed_template_v1
502,US,CA,California,Victory Racquet & Paddle Club,Tournament Club,Small,ai_seed_template_v1
503,US,CA,California,Pacific Coast Pickleball Community,Tournament Club,Medium,ai_seed_template_v1
504,US,CA,California,Ace Point Drop Shot Club,Social Club,Tiny,ai_seed_template_v1
505,US,CA,California,SoCal Rally Association,Community Recreation Club,Small,ai_seed_template_v1
506,US,CA,California,Pacific Coast Paddle Pickleball Club,Retirement Community Club,Small,ai_seed_template_v1
507,US,CA,California,Redwood Paddle Club,Retirement Community Club,Tiny,ai_seed_template_v1
508,US,CA,California,Pacesetter Side Out Academy,Community Recreation Club,Medium,ai_seed_template_v1
509,US,CA,California,Bay Area Dink Academy,Tournament Club,Medium,ai_seed_template_v1
510,US,CA,California,Central Valley Dink Athletic Club,League Organization,Small,ai_seed_template_v1
511,US,CA,California,Pacific Coast Paddle Association,Retirement Community Club,Tiny,ai_seed_template_v1
512,US,CA,California,San Diego Net Community,Public Park Club,Tiny,ai_seed_template_v1
513,US,CA,California,SoCal Dink Athletic Club,Tournament Club,Small,ai_seed_template_v1
514,US,CA,California,Sierra Dink Society,Tournament Club,Small,ai_seed_template_v1
515,US,CA,California,Central Valley Pickleball Association,Social Club,Medium,ai_seed_template_v1
516,US,CA,California,San Diego Court Athletic Club,Public Park Club,Large,ai_seed_template_v1
517,US,CA,California,Pacific Coast Collective,Public Park Club,Medium,ai_seed_template_v1
518,US,CA,California,San Diego Kitchen Rec Club,Private Athletic Club,Small,ai_seed_template_v1
519,US,CA,California,Golden State Dink League,League Organization,Small,ai_seed_template_v1
520,US,CA,California,Heritage Crew,Retirement Community Club,Tiny,ai_seed_template_v1
521,US,CA,California,Pacific Coast Community,Tournament Club,Medium,ai_seed_template_v1
522,US,CA,California,Cornerstone Pickleball Club,Social Club,Medium,ai_seed_template_v1
523,US,CA,California,Summit Lob Center,Tournament Club,Tiny,ai_seed_template_v1
524,US,CA,California,SoCal Rally Rec Club,Indoor Facility Club,Small,ai_seed_template_v1
525,US,CA,California,Sierra Dink Community,Tournament Club,Medium,ai_seed_template_v1
526,US,CA,California,Victory Rally Paddle Club,Retirement Community Club,Tiny,ai_seed_template_v1
527,US,CA,California,Sierra Pickleball Collective,League Organization,Tiny,ai_seed_template_v1
528,US,CA,California,Civic Drop Shot Club,Social Club,Tiny,ai_seed_template_v1
529,US,CA,California,Ace Point Association,Indoor Facility Club,Small,ai_seed_template_v1
530,US,CA,California,Central Valley Court Academy,League Organization,Small,ai_seed_template_v1
531,US,CA,California,Pacific Coast Rally Academy,Tournament Club,Tiny,ai_seed_template_v1
532,US,CA,California,Victory Smash Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
533,US,CA,California,Parkside Dink Association,Retirement Community Club,Medium,ai_seed_template_v1
534,US,CA,California,SoCal Pickleball League,Tournament Club,Small,ai_seed_template_v1
535,US,CA,California,Premier Third Shot Athletic Club,Indoor Facility Club,Mega,ai_seed_template_v1
536,US,CA,California,Sunset Paddle Rec Club,Competitive Training Club,Medium,ai_seed_template_v1
537,US,CA,California,Pacific Coast Pickleball Association,Competitive Training Club,Small,ai_seed_template_v1
538,US,CA,California,Redwood Court Crew,Tournament Club,Tiny,ai_seed_template_v1
539,US,CA,California,Pacific Coast Pickleball Racquet & Paddle Club,Tournament Club,Medium,ai_seed_template_v1
540,US,CA,California,All-Court Third Shot Pickleball Club,League Organization,Small,ai_seed_template_v1
541,US,CA,California,Orange County Net Association,Private Athletic Club,Small,ai_seed_template_v1
542,US,CA,California,Northside Association,Tournament Club,Medium,ai_seed_template_v1
543,US,CA,California,Golden State Society,Community Recreation Club,Tiny,ai_seed_template_v1
544,US,CA,California,Redwood Paddle Crew,Tournament Club,Small,ai_seed_template_v1
545,US,CA,California,Civic Paddle Collective,Competitive Training Club,Tiny,ai_seed_template_v1
546,US,CA,California,San Diego Paddle Rec Club,Tournament Club,Small,ai_seed_template_v1
547,US,CA,California,SoCal Rally Club,Retirement Community Club,Small,ai_seed_template_v1
548,US,CA,California,Bay Area Dink Rec Club,Retirement Community Club,Small,ai_seed_template_v1
549,US,CA,California,Pacific Coast Association,Social Club,Tiny,ai_seed_template_v1
550,US,CA,California,SoCal Smash Club,Tournament Club,Large,ai_seed_template_v1
551,US,CA,California,Bay Area Pickleball Center,Community Recreation Club,Small,ai_seed_template_v1
552,US,CA,California,Golden State Smash League,Competitive Training Club,Tiny,ai_seed_template_v1
553,US,CA,California,Golden State Court Center,Retirement Community Club,Small,ai_seed_template_v1
554,US,CA,California,Redwood Court Pickleball Club,Tournament Club,Small,ai_seed_template_v1
555,US,CA,California,Redwood Racquet & Paddle Club,Retirement Community Club,Tiny,ai_seed_template_v1
556,US,CA,California,Sierra Pickleball League,Public Park Club,Small,ai_seed_template_v1
557,US,CA,California,Bay Area Pickleball Athletic Club,Private Athletic Club,Small,ai_seed_template_v1
558,US,CA,California,Golden State Court Crew,Community Recreation Club,Tiny,ai_seed_template_v1
559,US,CA,California,Downtown Baseline Center,Indoor Facility Club,Tiny,ai_seed_template_v1
560,US,CA,California,Match Point Center,Tournament Club,Tiny,ai_seed_template_v1
561,US,CA,California,Home Court Rec Club,Tournament Club,Small,ai_seed_template_v1
562,US,CA,California,Sierra Court Crew,Tournament Club,Tiny,ai_seed_template_v1
563,US,CA,California,Redwood Rally Paddle Club,Community Recreation Club,Small,ai_seed_template_v1
564,US,CA,California,Match Point Lob Center,Competitive Training Club,Small,ai_seed_template_v1
565,US,CA,California,Classic Lob League,Private Athletic Club,Tiny,ai_seed_template_v1
566,US,CA,California,Pacific Coast Paddle Club,Tournament Club,Small,ai_seed_template_v1
567,US,CA,California,SoCal Drop Shot Rec Club,Retirement Community Club,Medium,ai_seed_template_v1
568,US,CA,California,Summit Rally Pickleball Club,Tournament Club,Medium,ai_seed_template_v1
569,US,CA,California,Central Court Paddle Club,Public Park Club,Medium,ai_seed_template_v1
570,US,CA,California,Redwood Dink Crew,League Organization,Small,ai_seed_template_v1
571,US,CA,California,San Diego Paddle Community,Social Club,Tiny,ai_seed_template_v1
572,US,CA,California,Highland Pickleball Community,Tournament Club,Medium,ai_seed_template_v1
573,US,CA,California,Westside Rally Club,Private Athletic Club,Small,ai_seed_template_v1
574,US,CA,California,SoCal Athletic Club,Indoor Facility Club,Tiny,ai_seed_template_v1
575,US,CA,California,Southside Drop Shot Pickleball Club,Tournament Club,Tiny,ai_seed_template_v1
576,US,CA,California,Riverside Serve Pickleball Club,Tournament Club,Small,ai_seed_template_v1
577,US,CA,California,True North Smash Academy,Public Park Club,Mega,ai_seed_template_v1
578,US,CA,California,Pacesetter Collective,Indoor Facility Club,Tiny,ai_seed_template_v1
579,US,CA,California,All-Court Baseline Rec Club,Social Club,Small,ai_seed_template_v1
580,US,CA,California,SoCal Pickleball Paddle Club,Tournament Club,Medium,ai_seed_template_v1
581,US,CA,California,SoCal Smash Crew,Competitive Training Club,Tiny,ai_seed_template_v1
582,US,CA,California,Summit Drop Shot Association,Retirement Community Club,Small,ai_seed_template_v1
583,US,CA,California,Pacific Coast Pickleball Rec Club,Private Athletic Club,Medium,ai_seed_template_v1
584,US,CA,California,Pacific Coast Kitchen Center,League Organization,Small,ai_seed_template_v1
585,US,CA,California,Sierra Racquet & Paddle Club,Public Park Club,Medium,ai_seed_template_v1
586,US,CA,California,Central Valley Rally Rec Club,Social Club,Small,ai_seed_template_v1
587,US,CA,California,San Diego Third Shot Academy,Retirement Community Club,Tiny,ai_seed_template_v1
588,US,CA,California,Bay Area Rally Crew,Competitive Training Club,Large,ai_seed_template_v1
589,US,CA,California,Golden State Lob Community,Tournament Club,Tiny,ai_seed_template_v1
590,US,CA,California,Central Valley Dink Association,Tournament Club,Small,ai_seed_template_v1
591,US,CA,California,Baseline Net Collective,Indoor Facility Club,Medium,ai_seed_template_v1
592,US,CA,California,All-Court Pickleball Club,Tournament Club,Tiny,ai_seed_template_v1
593,US,CA,California,Parkside Academy,Private Athletic Club,Medium,ai_seed_template_v1
594,US,CA,California,Redwood Paddle Society,Competitive Training Club,Tiny,ai_seed_template_v1
595,US,CA,California,SoCal Drop Shot Collective,Tournament Club,Medium,ai_seed_template_v1
596,US,CA,California,Heritage Serve Pickleball Club,Indoor Facility Club,Tiny,ai_seed_template_v1
597,US,CA,California,Premier Athletic Club,Indoor Facility Club,Small,ai_seed_template_v1
598,US,CA,California,Redwood Dink Center,Indoor Facility Club,Small,ai_seed_template_v1
599,US,CA,California,Golden State Paddle League,Public Park Club,Tiny,ai_seed_template_v1
600,US,CA,California,Golden State Court Society,Retirement Community Club,Small,ai_seed_template_v1
601,US,CA,California,Pacesetter Association,Public Park Club,Medium,ai_seed_template_v1
602,US,CA,California,Orange County Rec Club,Private Athletic Club,Medium,ai_seed_template_v1
603,US,CA,California,Bay Area Paddle Society,Public Park Club,Small,ai_seed_template_v1
604,US,CA,California,SoCal Rally League,Private Athletic Club,Tiny,ai_seed_template_v1
605,US,CA,California,Orange County Court Crew,Indoor Facility Club,Large,ai_seed_template_v1
606,US,CA,California,Bay Area Net Academy,Private Athletic Club,Small,ai_seed_template_v1
607,US,CA,California,All-Court Dink Racquet & Paddle Club,Public Park Club,Tiny,ai_seed_template_v1
608,US,CA,California,Lakeside Paddle Club,Social Club,Small,ai_seed_template_v1
609,US,CA,California,Orange County Pickleball Paddle Club,Retirement Community Club,Tiny,ai_seed_template_v1
610,US,CA,California,SoCal Paddle Association,Tournament Club,Medium,ai_seed_template_v1
611,US,CA,California,Northside Rally Community,Indoor Facility Club,Medium,ai_seed_template_v1
612,US,CA,California,Northside Center,Competitive Training Club,Small,ai_seed_template_v1
613,US,CA,California,Bay Area Court Paddle Club,Social Club,Tiny,ai_seed_template_v1
614,US,CA,California,Sierra Rally Club,Social Club,Tiny,ai_seed_template_v1
615,US,CA,California,Heritage Rally Club,Tournament Club,Tiny,ai_seed_template_v1
616,US,CA,California,Open Play Athletic Club,Competitive Training Club,Tiny,ai_seed_template_v1
617,US,CA,California,Eastside Paddle Crew,Social Club,Small,ai_seed_template_v1
618,US,CA,California,Orange County Paddle Academy,Indoor Facility Club,Tiny,ai_seed_template_v1
619,US,CA,California,Redwood Pickleball Academy,League Organization,Medium,ai_seed_template_v1
620,US,CA,California,Pacific Coast Rally Athletic Club,Public Park Club,Tiny,ai_seed_template_v1
621,US,CA,California,Downtown Pickleball Racquet & Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
622,US,CA,California,Lakeside Pickleball Center,Social Club,Tiny,ai_seed_template_v1
623,US,CA,California,Ace Point Racquet & Paddle Club,League Organization,Medium,ai_seed_template_v1
624,US,CA,California,Sunset Lob Association,Social Club,Medium,ai_seed_template_v1
625,US,CA,California,Sierra Crew,Competitive Training Club,Tiny,ai_seed_template_v1
626,US,CO,Colorado,Foothills Pickleball Academy,Tournament Club,Small,ai_seed_template_v1
627,US,CO,Colorado,Next Point Pickleball Club,Retirement Community Club,Tiny,ai_seed_template_v1
628,US,CO,Colorado,Classic Court Center,Public Park Club,Small,ai_seed_template_v1
629,US,CO,Colorado,Rocky Mountain Dink Club,Indoor Facility Club,Tiny,ai_seed_template_v1
630,US,CO,Colorado,Home Court Pickleball Club,League Organization,Tiny,ai_seed_template_v1
631,US,CO,Colorado,Home Court League,Social Club,Small,ai_seed_template_v1
632,US,CO,Colorado,Westside Rally Paddle Club,Indoor Facility Club,Tiny,ai_seed_template_v1
633,US,CO,Colorado,Parkside Paddle Racquet & Paddle Club,Social Club,Tiny,ai_seed_template_v1
634,US,CO,Colorado,Four Corners Center,League Organization,Small,ai_seed_template_v1
635,US,CO,Colorado,Rocky Mountain Rally Racquet & Paddle Club,Tournament Club,Small,ai_seed_template_v1
636,US,CO,Colorado,Pioneer Dink Society,Retirement Community Club,Small,ai_seed_template_v1
637,US,CO,Colorado,Aspen Pickleball League,Indoor Facility Club,Medium,ai_seed_template_v1
638,US,CO,Colorado,True North Court Rec Club,Community Recreation Club,Small,ai_seed_template_v1
639,US,CO,Colorado,Aspen Paddle Club,League Organization,Small,ai_seed_template_v1
640,US,CO,Colorado,Open Play Pickleball Club,Community Recreation Club,Small,ai_seed_template_v1
641,US,CO,Colorado,Aspen Center,Retirement Community Club,Medium,ai_seed_template_v1
642,US,CO,Colorado,Metro Paddle Association,Tournament Club,Tiny,ai_seed_template_v1
643,US,CO,Colorado,Prime Time Collective,Competitive Training Club,Medium,ai_seed_template_v1
644,US,CO,Colorado,Premier Pickleball Club,Tournament Club,Small,ai_seed_template_v1
645,US,CO,Colorado,Mile High Paddle Crew,Public Park Club,Small,ai_seed_template_v1
646,US,CO,Colorado,Downtown Pickleball Racquet & Paddle Club,Retirement Community Club,Small,ai_seed_template_v1
647,US,CO,Colorado,Summit Dink Rec Club,Indoor Facility Club,Small,ai_seed_template_v1
648,US,CO,Colorado,Front Range Court Association,Indoor Facility Club,Medium,ai_seed_template_v1
649,US,CO,Colorado,All-Court Dink Community,Public Park Club,Tiny,ai_seed_template_v1
650,US,CO,Colorado,Pacesetter Third Shot Pickleball Club,Community Recreation Club,Tiny,ai_seed_template_v1
651,US,CO,Colorado,Aspen Paddle Society,Indoor Facility Club,Small,ai_seed_template_v1
652,US,CO,Colorado,Foothills Pickleball Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
653,US,CO,Colorado,Downtown Paddle Club,League Organization,Tiny,ai_seed_template_v1
654,US,CO,Colorado,Ace Point Association,Social Club,Small,ai_seed_template_v1
655,US,CO,Colorado,Foothills Collective,Tournament Club,Medium,ai_seed_template_v1
656,US,CO,Colorado,Rocky Mountain Paddle Academy,Social Club,Small,ai_seed_template_v1
657,US,CO,Colorado,Heritage Society,Competitive Training Club,Tiny,ai_seed_template_v1
658,US,CO,Colorado,Baseline Community,Public Park Club,Small,ai_seed_template_v1
659,US,CO,Colorado,Aspen Association,Competitive Training Club,Tiny,ai_seed_template_v1
660,US,CO,Colorado,Mile High Community,Private Athletic Club,Medium,ai_seed_template_v1
661,US,CO,Colorado,Four Corners Crew,Retirement Community Club,Small,ai_seed_template_v1
662,US,CO,Colorado,All-Court Pickleball Club,Private Athletic Club,Medium,ai_seed_template_v1
663,US,CO,Colorado,Front Range Rally Paddle Club,Competitive Training Club,Medium,ai_seed_template_v1
664,US,CO,Colorado,Courtyard Society,Social Club,Small,ai_seed_template_v1
665,US,CO,Colorado,Foothills Paddle Society,Competitive Training Club,Tiny,ai_seed_template_v1
666,US,CO,Colorado,Metro Dink Athletic Club,League Organization,Large,ai_seed_template_v1
667,US,CO,Colorado,Rocky Mountain Dink Academy,Competitive Training Club,Tiny,ai_seed_template_v1
668,US,CO,Colorado,Rocky Mountain Dink Pickleball Club,Social Club,Medium,ai_seed_template_v1
669,US,CO,Colorado,Summit Court Paddle Club,League Organization,Small,ai_seed_template_v1
670,US,CO,Colorado,Parkside Club,Public Park Club,Small,ai_seed_template_v1
671,US,CO,Colorado,True North Crew,Competitive Training Club,Tiny,ai_seed_template_v1
672,US,CO,Colorado,Golden Paddle Pickleball Club,Community Recreation Club,Small,ai_seed_template_v1
673,US,CO,Colorado,Baseline Dink Society,Community Recreation Club,Small,ai_seed_template_v1
674,US,CO,Colorado,Prime Time Athletic Club,Private Athletic Club,Medium,ai_seed_template_v1
675,US,CO,Colorado,Rocky Mountain Net Society,Competitive Training Club,Large,ai_seed_template_v1
676,US,CO,Colorado,Summit Court League,Indoor Facility Club,Tiny,ai_seed_template_v1
677,US,CO,Colorado,Aspen Serve Community,Community Recreation Club,Tiny,ai_seed_template_v1
678,US,CO,Colorado,Aspen Paddle Center,Public Park Club,Small,ai_seed_template_v1
679,US,CO,Colorado,Summit Smash Society,Tournament Club,Small,ai_seed_template_v1
680,US,CO,Colorado,Aspen Court Society,Retirement Community Club,Tiny,ai_seed_template_v1
681,US,CO,Colorado,Civic Rally Paddle Club,League Organization,Small,ai_seed_template_v1
682,US,CO,Colorado,Home Court Racquet & Paddle Club,Retirement Community Club,Tiny,ai_seed_template_v1
683,US,CO,Colorado,Aspen Dink Collective,Community Recreation Club,Small,ai_seed_template_v1
684,US,CO,Colorado,Golden Paddle Lob Center,Public Park Club,Tiny,ai_seed_template_v1
685,US,CO,Colorado,Foothills Center,Tournament Club,Small,ai_seed_template_v1
686,US,CO,Colorado,Summit Pickleball Society,Tournament Club,Small,ai_seed_template_v1
687,US,CO,Colorado,Foothills Pickleball Rec Club,Community Recreation Club,Tiny,ai_seed_template_v1
688,US,CO,Colorado,Summit Paddle Center,Retirement Community Club,Small,ai_seed_template_v1
689,US,CO,Colorado,Front Range Club,Social Club,Small,ai_seed_template_v1
690,US,CO,Colorado,Northside Racquet & Paddle Club,Social Club,Small,ai_seed_template_v1
691,US,CT,Connecticut,Nutmeg Rally Collective,Indoor Facility Club,Tiny,ai_seed_template_v1
692,US,CT,Connecticut,Pioneer Dink Crew,Private Athletic Club,Tiny,ai_seed_template_v1
693,US,CT,Connecticut,Shoreline Rally Society,Tournament Club,Tiny,ai_seed_template_v1
694,US,CT,Connecticut,Active Life Pickleball Club,Indoor Facility Club,Medium,ai_seed_template_v1
695,US,CT,Connecticut,Premier Pickleball Club,Community Recreation Club,Small,ai_seed_template_v1
696,US,CT,Connecticut,Courtyard Net Rec Club,Retirement Community Club,Tiny,ai_seed_template_v1
697,US,CT,Connecticut,Four Corners Pickleball Club,Public Park Club,Small,ai_seed_template_v1
698,US,CT,Connecticut,New England Rally Pickleball Club,Indoor Facility Club,Tiny,ai_seed_template_v1
699,US,CT,Connecticut,Nutmeg Rally League,Tournament Club,Small,ai_seed_template_v1
700,US,CT,Connecticut,Shoreline Club,Private Athletic Club,Small,ai_seed_template_v1
701,US,CT,Connecticut,Civic Third Shot Association,Public Park Club,Small,ai_seed_template_v1
702,US,CT,Connecticut,Fairfield Paddle Crew,Public Park Club,Tiny,ai_seed_template_v1
703,US,CT,Connecticut,New England Paddle Association,Tournament Club,Tiny,ai_seed_template_v1
704,US,CT,Connecticut,Summit Dink Paddle Club,Retirement Community Club,Small,ai_seed_template_v1
705,US,CT,Connecticut,Riverside Pickleball League,Community Recreation Club,Tiny,ai_seed_template_v1
706,US,CT,Connecticut,Shoreline Paddle Collective,Social Club,Tiny,ai_seed_template_v1
707,US,CT,Connecticut,Shoreline Dink Center,League Organization,Tiny,ai_seed_template_v1
708,US,CT,Connecticut,Prime Time Kitchen Collective,Public Park Club,Small,ai_seed_template_v1
709,US,CT,Connecticut,Shoreline Paddle Racquet & Paddle Club,Indoor Facility Club,Tiny,ai_seed_template_v1
710,US,CT,Connecticut,Community Drop Shot Association,Tournament Club,Medium,ai_seed_template_v1
711,US,CT,Connecticut,Golden Paddle Pickleball Club,Social Club,Medium,ai_seed_template_v1
712,US,CT,Connecticut,Fairfield Pickleball Racquet & Paddle Club,League Organization,Small,ai_seed_template_v1
713,US,CT,Connecticut,New England Dink Paddle Club,Public Park Club,Tiny,ai_seed_template_v1
714,US,CT,Connecticut,New England Dink Society,Social Club,Medium,ai_seed_template_v1
715,US,CT,Connecticut,Nutmeg Center,Tournament Club,Medium,ai_seed_template_v1
716,US,CT,Connecticut,Heritage Association,Retirement Community Club,Small,ai_seed_template_v1
717,US,CT,Connecticut,Fairfield Paddle Community,Public Park Club,Large,ai_seed_template_v1
718,US,CT,Connecticut,Cornerstone Side Out Rec Club,League Organization,Small,ai_seed_template_v1
719,US,CT,Connecticut,Nutmeg Dink Pickleball Club,League Organization,Small,ai_seed_template_v1
720,US,CT,Connecticut,Match Point Pickleball Club,Retirement Community Club,Medium,ai_seed_template_v1
721,US,CT,Connecticut,Hartford Rally Club,Public Park Club,Tiny,ai_seed_template_v1
722,US,CT,Connecticut,Heritage Paddle Crew,Tournament Club,Small,ai_seed_template_v1
723,US,CT,Connecticut,Shoreline Court Crew,Community Recreation Club,Small,ai_seed_template_v1
724,US,CT,Connecticut,New England Pickleball Rec Club,League Organization,Small,ai_seed_template_v1
725,US,DE,Delaware,Coastal Delaware Rally Club,League Organization,Small,ai_seed_template_v1
726,US,DE,Delaware,First State Court Rec Club,Competitive Training Club,Small,ai_seed_template_v1
727,US,DE,Delaware,First State Center,Indoor Facility Club,Medium,ai_seed_template_v1
728,US,DE,Delaware,First State Association,Private Athletic Club,Small,ai_seed_template_v1
729,US,DE,Delaware,Sunset Dink Club,Tournament Club,Medium,ai_seed_template_v1
730,US,DE,Delaware,Premier Rec Club,Retirement Community Club,Tiny,ai_seed_template_v1
731,US,DE,Delaware,Riverside Dink Academy,League Organization,Small,ai_seed_template_v1
732,US,DE,Delaware,Civic Court Pickleball Club,Social Club,Small,ai_seed_template_v1
733,US,DE,Delaware,Dover Pickleball Athletic Club,Social Club,Small,ai_seed_template_v1
734,US,DE,Delaware,First State Paddle Crew,Private Athletic Club,Small,ai_seed_template_v1
735,US,DC,District of Columbia,Four Corners Kitchen Association,Private Athletic Club,Tiny,ai_seed_template_v1
736,US,DC,District of Columbia,Home Court Association,League Organization,Tiny,ai_seed_template_v1
737,US,DC,District of Columbia,Heritage Lob Crew,League Organization,Small,ai_seed_template_v1
738,US,DC,District of Columbia,Pioneer Dink League,Social Club,Medium,ai_seed_template_v1
739,US,DC,District of Columbia,Parkside Court Club,League Organization,Small,ai_seed_template_v1
740,US,DC,District of Columbia,All-Court Pickleball Club,Social Club,Tiny,ai_seed_template_v1
741,US,FL,Florida,Atlantic Coast Association,Retirement Community Club,Tiny,ai_seed_template_v1
742,US,FL,Florida,Golden Paddle Pickleball Club,Retirement Community Club,Tiny,ai_seed_template_v1
743,US,FL,Florida,Tampa Bay Court Center,Retirement Community Club,Small,ai_seed_template_v1
744,US,FL,Florida,Downtown Rally Association,Indoor Facility Club,Small,ai_seed_template_v1
745,US,FL,Florida,Pioneer Dink Collective,Social Club,Large,ai_seed_template_v1
746,US,FL,Florida,Baseline Pickleball Club,Retirement Community Club,Large,ai_seed_template_v1
747,US,FL,Florida,Sarasota Paddle Club,Public Park Club,Small,ai_seed_template_v1
748,US,FL,Florida,Golden Paddle Baseline Association,Indoor Facility Club,Medium,ai_seed_template_v1
749,US,FL,Florida,Keys Paddle Center,Tournament Club,Tiny,ai_seed_template_v1
750,US,FL,Florida,Civic Dink Pickleball Club,Private Athletic Club,Tiny,ai_seed_template_v1
751,US,FL,Florida,Orlando Rally League,Social Club,Small,ai_seed_template_v1
752,US,FL,Florida,Sunshine State Smash Academy,Tournament Club,Tiny,ai_seed_template_v1
753,US,FL,Florida,Classic Association,League Organization,Small,ai_seed_template_v1
754,US,FL,Florida,Tampa Bay Pickleball League,Private Athletic Club,Tiny,ai_seed_template_v1
755,US,FL,Florida,Next Point Racquet & Paddle Club,Retirement Community Club,Medium,ai_seed_template_v1
756,US,FL,Florida,Tampa Bay Dink Crew,League Organization,Tiny,ai_seed_template_v1
757,US,FL,Florida,Palm Coast Court Academy,Tournament Club,Medium,ai_seed_template_v1
758,US,FL,Florida,Sunshine State Pickleball Racquet & Paddle Club,Social Club,Tiny,ai_seed_template_v1
759,US,FL,Florida,Prime Time Court Athletic Club,Retirement Community Club,Tiny,ai_seed_template_v1
760,US,FL,Florida,Next Point Serve Collective,Tournament Club,Small,ai_seed_template_v1
761,US,FL,Florida,Northside Dink Athletic Club,Tournament Club,Small,ai_seed_template_v1
762,US,FL,Florida,Atlantic Coast Community,Competitive Training Club,Medium,ai_seed_template_v1
763,US,FL,Florida,Lakeside Rally Collective,Retirement Community Club,Medium,ai_seed_template_v1
764,US,FL,Florida,Ace Point Pickleball Club,Tournament Club,Medium,ai_seed_template_v1
765,US,FL,Florida,Golden Paddle Rec Club,Private Athletic Club,Large,ai_seed_template_v1
766,US,FL,Florida,Palm Coast Rally Racquet & Paddle Club,Private Athletic Club,Tiny,ai_seed_template_v1
767,US,FL,Florida,Boca Pickleball Collective,Retirement Community Club,Tiny,ai_seed_template_v1
768,US,FL,Florida,Heritage Athletic Club,Tournament Club,Small,ai_seed_template_v1
769,US,FL,Florida,Atlantic Coast Paddle Rec Club,Retirement Community Club,Medium,ai_seed_template_v1
770,US,FL,Florida,Sunshine State Rally Athletic Club,Retirement Community Club,Small,ai_seed_template_v1
771,US,FL,Florida,Tampa Bay Pickleball Club,Private Athletic Club,Large,ai_seed_template_v1
772,US,FL,Florida,Naples Rally Crew,Retirement Community Club,Tiny,ai_seed_template_v1
773,US,FL,Florida,Boca Dink Center,Social Club,Small,ai_seed_template_v1
774,US,FL,Florida,Atlantic Coast Third Shot Collective,Community Recreation Club,Small,ai_seed_template_v1
775,US,FL,Florida,Prime Time Net Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
776,US,FL,Florida,Golden Paddle Center,Social Club,Tiny,ai_seed_template_v1
777,US,FL,Florida,Pioneer Dink Athletic Club,Community Recreation Club,Small,ai_seed_template_v1
778,US,FL,Florida,Next Point Dink Academy,Social Club,Small,ai_seed_template_v1
779,US,FL,Florida,Keys Court Center,Social Club,Small,ai_seed_template_v1
780,US,FL,Florida,Atlantic Coast Rally Society,Tournament Club,Tiny,ai_seed_template_v1
781,US,FL,Florida,Downtown Baseline Rec Club,League Organization,Mega,ai_seed_template_v1
782,US,FL,Florida,Gulf Coast Pickleball Collective,Competitive Training Club,Tiny,ai_seed_template_v1
783,US,FL,Florida,Sarasota Rally Club,Public Park Club,Small,ai_seed_template_v1
784,US,FL,Florida,Courtyard Pickleball Club,Public Park Club,Small,ai_seed_template_v1
785,US,FL,Florida,Atlantic Coast Rally Rec Club,Social Club,Tiny,ai_seed_template_v1
786,US,FL,Florida,Sarasota Collective,Retirement Community Club,Tiny,ai_seed_template_v1
787,US,FL,Florida,Open Play Pickleball Club,Community Recreation Club,Small,ai_seed_template_v1
788,US,FL,Florida,Open Play Crew,Tournament Club,Small,ai_seed_template_v1
789,US,FL,Florida,Boca Paddle Club,Tournament Club,Small,ai_seed_template_v1
790,US,FL,Florida,Home Court Pickleball Club,Tournament Club,Medium,ai_seed_template_v1
791,US,FL,Florida,Central Paddle Collective,Retirement Community Club,Medium,ai_seed_template_v1
792,US,FL,Florida,Heritage Pickleball Racquet & Paddle Club,Indoor Facility Club,Tiny,ai_seed_template_v1
793,US,FL,Florida,Active Life Net Collective,Retirement Community Club,Tiny,ai_seed_template_v1
794,US,FL,Florida,Boca Pickleball Club,Tournament Club,Medium,ai_seed_template_v1
795,US,FL,Florida,Tampa Bay Paddle Pickleball Club,Retirement Community Club,Tiny,ai_seed_template_v1
796,US,FL,Florida,Sunshine State Dink Crew,Retirement Community Club,Small,ai_seed_template_v1
797,US,FL,Florida,Keys Paddle Academy,Retirement Community Club,Medium,ai_seed_template_v1
798,US,FL,Florida,Keys Dink Society,Retirement Community Club,Large,ai_seed_template_v1
799,US,FL,Florida,Orlando Paddle Club,Tournament Club,Tiny,ai_seed_template_v1
800,US,FL,Florida,Palm Coast Rally Athletic Club,Social Club,Tiny,ai_seed_template_v1
801,US,FL,Florida,Central Pickleball Rec Club,Competitive Training Club,Large,ai_seed_template_v1
802,US,FL,Florida,Sunshine State Paddle Racquet & Paddle Club,Retirement Community Club,Medium,ai_seed_template_v1
